state_code,lg_code,ward_code,pu_code,code,name,ward,lga,latitude,longitude,cvr_pu_id
12,01,10,009,12/01/10/009,"OSOSO,  UDUREVBE T. SQ.",OSOSO,AKOKO EDO,7.41850318,6.25495687,34197
12,01,10,010,12/01/10/010,"OSOSO,  IKUEGBEDE P/S",OSOSO,AKOKO EDO,7.39490388,6.25144863,34198
12,01,10,011,12/01/10/011,"OSOSO,  IREVBE UDEGWA SQ.",OSOSO,AKOKO EDO,7.41090551,6.26094130,34199
12,01,10,012,12/01/10/012,"OSOSO,  OLD ST. PETERS",OSOSO,AKOKO EDO,7.41381891,6.25731517,34200
12,01,10,013,12/01/10/013,"OSOSO,  OLD L.A. P/S",OSOSO,AKOKO EDO,7.40705391,6.24507249,34201
12,02,01,001,12/02/01/001,ASORO GRAM SCH. EVBUOTUBU I,OTUBU,EGOR,6.32936996,5.58295149,34202
12,02,01,002,12/02/01/002,ASORO GRAM. SCH. EVBUOTUBU II,OTUBU,EGOR,6.32931291,5.58298345,34203
12,02,01,003,12/02/01/003,EVBUOTUBU SEC. SCHOOL,OTUBU,EGOR,6.34428944,5.58397291,34204
12,02,01,004,12/02/01/004,"EVBUOTUBU SC. SCHO0L,  EVBUOTUBU",OTUBU,EGOR,6.34428787,5.58396805,34205
12,02,01,005,12/02/01/005,"OMO NUSERY PRIMARY SCHOOL, EVBUOTUBU I",OTUBU,EGOR,6.33974703,5.58556073,34206
12,02,01,006,12/02/01/006,"OMO NURSERY PRIMARY SCHOOL,  EVBUOTUBU II",OTUBU,EGOR,6.33974473,5.58556536,34207
12,02,01,007,12/02/01/007,"EVBUOTUBU PRIMARY SCHOOL,  EVBUOTUBU I",OTUBU,EGOR,6.33854101,5.57264780,34208
12,02,01,008,12/02/01/008,"EVBUOTUBU PRIMARY SCHOOL,  EVBUOTUBU II",OTUBU,EGOR,6.33854415,5.57264740,34209
